"","ppt_id","head_noun","card","pair_type","trial_result","head_noun_tag","dep","AoA","Conc.M","Dom_Pos","Lg10WF"
"245",26,"body","Sweat","Friend","Won","NN","pobj",7.26,4.71,"Noun",3.0477
"246",26,"waitress","Sweat","Friend","Won","NN","pobj",7.26,4.71,"Noun",3.0477
"247",26,"yep","Sweat","Friend","Won","NN","dobj",7.26,4.71,"Noun",3.0477
"248",26,"one","Hunk","Friend","Lost","NN","dobj",8.33,3.79,"Noun",2.4216
"249",26,"area","Tropical","Friend","Won","NN","pobj",9.05,3.25,"Adjective",2.2148
"250",26,"summer","Tropical","Friend","Won","NN","ROOT",9.05,3.25,"Adjective",2.2148
"251",26,"lot","Tropical","Friend","Won","NN","pobj",9.05,3.25,"Adjective",2.2148
"252",26,"area","Tropical","Friend","Won","NN","ROOT",9.05,3.25,"Adjective",2.2148
"253",26,"part","Tropical","Friend","Won","NN","attr",9.05,3.25,"Adjective",2.2148
"254",26,"body","Tropical","Friend","Won","NN","pobj",9.05,3.25,"Adjective",2.2148
"255",26,"lot","Tropical","Friend","Won","NN","dobj",9.05,3.25,"Adjective",2.2148
"256",26,"food","Tropical","Friend","Won","NN","nsubj",9.05,3.25,"Adjective",2.2148
"257",26,"lot","Stomach","Friend","Won","NN","attr",5.26,4.89,"Noun",3.237
"258",26,"blank","Snowman","Friend","Won","NN","dobj",3.47,4.64,"Noun",1.9912
"259",26,"name","Snowman","Friend","Won","NN","pobj",3.47,4.64,"Noun",1.9912
"260",26,"tool","Snowman","Friend","Won","NN","attr",3.47,4.64,"Noun",1.9912
"261",26,"pan","Snowman","Friend","Won","NN","pobj",3.47,4.64,"Noun",1.9912
"262",26,"day","Midnight","Friend","Won","NN","pobj",6.21,3.14,"Noun",3.1608
"263",26,"game","Marble","Stranger","Won","NN","pobj",7.05,4.85,"Noun",2.4265
"264",26,"drinks","Vineyard","Stranger","Lost","NNS","dobj",11.05,4.8,"Noun",2.1553
"265",26,"person","Straw","Stranger","Won","NN","appos",4.22,4.77,"Noun",2.5038
"266",26,"person","Plumber","Stranger","Lost","NN","nsubjpass",8.56,4.63,"Noun",2.3617
"267",26,"mission","Plumber","Stranger","Lost","NN","pobj",8.56,4.63,"Noun",2.3617
"268",26,"job","Trophy","Stranger","Won","NN","dobj",5.55,4.89,"Noun",2.5866
"269",26,"place","Trophy","Stranger","Won","NN","dobj",5.55,4.89,"Noun",2.5866
"270",26,"morning","Tape","Stranger","Won","NN","pobj",4.42,4.9,"Noun",3.5456
"271",26,"type","Tape","Stranger","Won","NN","dobj",4.42,4.9,"Noun",3.5456
"272",26,"profession","Zebra","Stranger","Won","NN","attr",4.79,4.86,"Noun",2.1106
"273",26,"lectures","Teacher","Stranger","Won","NNS","pobj",4.55,4.52,"Noun",3.4538
"274",26,"lot","Touch","Stranger","Won","NN","dobj",5.16,3.86,"Verb",3.8771
