rt,session_id,button_pressed,card,critical_trial,color,pair_type,trial_result,trial_with_partner,Participant ID,Session Number,Deck Color,Order,MINT_Score_Uncued_Correct,ppt_id,Gender,Native_Speaker,Played_before,Taboo_expertise,partner_id,partner_closeness
10769,1,0,Job,yes,Purple,Friend,Won,30,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
5932,1,1,Turnover,yes,Purple,Friend,Lost,31,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
13279,1,1,Panic,yes,Purple,Friend,Lost,32,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
15965,1,0,Mistletoe,yes,Purple,Stranger,Won,1,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
4475,1,1,Tavern,yes,Purple,Stranger,Lost,2,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
13528,1,0,Fly,yes,Purple,Stranger,Won,3,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
13355,1,0,Navy,yes,Purple,Stranger,Won,4,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
8036,1,0,Owl,yes,Purple,Stranger,Won,5,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
6676,1,1,Lottery,yes,Purple,Stranger,Lost,6,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
22906,1,0,Sushi,yes,Purple,Stranger,Won,7,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
12760,1,0,Stale,yes,Purple,Stranger,Won,8,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
13233,1,0,Nail,yes,Purple,Stranger,Won,9,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
20804,1,1,Temperature,yes,Purple,Stranger,Lost,10,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
23695,1,0,Lasagna,yes,Purple,Stranger,Won,11,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
549,1,0,Survive,yes,Purple,Stranger,Won,12,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
14513,1,0,Mountain,yes,Purple,Stranger,Won,13,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
6026,1,1,Mud,yes,Purple,Stranger,Lost,14,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
11376,1,0,Paw,yes,Purple,Stranger,Won,15,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
15116,1,1,Mix,yes,Purple,Stranger,Lost,16,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
19424,1,0,Question Mark,yes,Purple,Stranger,Won,17,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
25127,1,0,Pizza,yes,Purple,Stranger,Won,18,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
16452,1,1,Shaving Cream,yes,Purple,Stranger,Lost,19,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
10382,1,0,Dance,yes,Purple,Stranger,Won,20,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
6908,1,0,Puppy,yes,Purple,Stranger,Won,21,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
11254,1,1,Slow,yes,Purple,Stranger,Lost,22,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
11847,1,0,Snooze,yes,Purple,Stranger,Won,23,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
4372,1,1,Tart,yes,Purple,Stranger,Lost,24,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
3882,1,1,Nozzle,yes,Purple,Stranger,Lost,25,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
27878,1,1,Buffalo,yes,Purple,Stranger,Lost,26,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
17561,1,1,Purple,yes,Purple,Stranger,Lost,27,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
3081,1,1,Studio,yes,Purple,Stranger,Lost,28,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
,1,,Tickle,yes,Purple,Stranger,Out of time,29,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
10715,1,1,Sneeze,yes,Purple,Stranger,Lost,30,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
25100,1,1,Skunk,yes,Purple,Stranger,Lost,31,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
12576,1,0,Monster,yes,Purple,Stranger,Won,32,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
,1,,Touchdown,yes,Purple,Stranger,Out of time,33,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
3614,1,1,Luau,yes,Purple,Stranger,Lost,34,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
21358,1,0,Thirst,yes,Purple,Stranger,Won,35,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
,1,,Gossip,yes,Purple,Stranger,Out of time,36,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,4,0
16353,1,0,Island,yes,Yellow,Friend,Won,1,4,1,Yellow,Friend_Stranger,21,4,Male,Yes,No,3,2,4.571428571
,1,,Garlic,yes,Yellow,Friend,Out of time,2,4,1,Yellow,Friend_Stranger,21,4,Male,Yes,No,3,2,4.571428571
19281,1,1,Pretzel,yes,Yellow,Friend,Lost,3,4,1,Yellow,Friend_Stranger,21,4,Male,Yes,No,3,2,4.571428571
14254,1,0,Artist,yes,Yellow,Friend,Won,4,4,1,Yellow,Friend_Stranger,21,4,Male,Yes,No,3,2,4.571428571
15055,1,0,Lizard,yes,Yellow,Friend,Won,5,4,1,Yellow,Friend_Stranger,21,4,Male,Yes,No,3,2,4.571428571
9707,1,0,Chandelier,yes,Yellow,Friend,Won,6,4,1,Yellow,Friend_Stranger,21,4,Male,Yes,No,3,2,4.571428571
13563,1,0,Mop,yes,Yellow,Friend,Won,7,4,1,Yellow,Friend_Stranger,21,4,Male,Yes,No,3,2,4.571428571
14440,1,1,Museum,yes,Yellow,Friend,Lost,8,4,1,Yellow,Friend_Stranger,21,4,Male,Yes,No,3,2,4.571428571
11071,1,0,Lunch,yes,Yellow,Friend,Won,9,4,1,Yellow,Friend_Stranger,21,4,Male,Yes,No,3,2,4.571428571
27411,1,1,Debut,yes,Yellow,Friend,Lost,10,4,1,Yellow,Friend_Stranger,21,4,Male,Yes,No,3,2,4.571428571
15881,1,0,Soup,yes,Yellow,Friend,Won,11,4,1,Yellow,Friend_Stranger,21,4,Male,Yes,No,3,2,4.571428571
15991,1,0,Butter,yes,Yellow,Friend,Won,12,4,1,Yellow,Friend_Stranger,21,4,Male,Yes,No,3,2,4.571428571
,1,,Forecast,yes,Yellow,Friend,Out of time,13,4,1,Yellow,Friend_Stranger,21,4,Male,Yes,No,3,2,4.571428571
14451,1,0,Fall,yes,Yellow,Friend,Won,14,4,1,Yellow,Friend_Stranger,21,4,Male,Yes,No,3,2,4.571428571
19232,1,1,License,yes,Yellow,Friend,Lost,15,4,1,Yellow,Friend_Stranger,21,4,Male,Yes,No,3,2,4.571428571
15659,1,0,Sauna,yes,Yellow,Friend,Won,16,4,1,Yellow,Friend_Stranger,21,4,Male,Yes,No,3,2,4.571428571
